periodo,mes,tipo_pasajero,origen,destino,viajes_proyectados
2027-01,1,Normal,Mercado,C. Raúl Silva H.,434.684362881189
2027-01,1,Normal,Mercado,Hito Galvarino,217.21131878945346
2027-01,1,Normal,Mercado,Los Canelos,398.68216873141307
2027-01,1,Normal,Mercado,Huinca,168.55904537396282
2027-01,1,Normal,Mercado,Cristo Redentor,304.1939529565361
2027-01,1,Normal,Mercado,Laguna Quiñenco,269.8871159574539
2027-01,1,Normal,Mercado,Intermodal Coronel,539.7511577931167
2027-01,1,Normal,Mercado,Pasajero Lota,0.0
2027-01,1,Normal,Mercado,Concepción Centro,0.0
2027-01,1,Normal,Juan Pablo II,Hualqui,506.4719597902278
2027-01,1,Normal,Juan Pablo II,La Leonera,334.0541869055873
2027-01,1,Normal,Juan Pablo II,Manquimávida,329.9862750783998
2027-01,1,Normal,Juan Pablo II,Pedro Medina,254.35117517185512
2027-01,1,Normal,Juan Pablo II,Chiguayante,296.07522482188614
2027-01,1,Normal,Juan Pablo II,Concepción,3471.8919055131896
2027-01,1,Normal,Juan Pablo II,Lorenzo Arenas,88.50635299144606
2027-01,1,Normal,Juan Pablo II,UTFSM,136.64396260121313
2027-01,1,Normal,Juan Pablo II,Los Cóndores,224.9065100468399
2027-01,1,Normal,Juan Pablo II,Higueras,224.79703419759431
2027-01,1,Normal,Juan Pablo II,El Arenal,141.53867340007602
2027-01,1,Normal,Juan Pablo II,Mercado,205.29087424964166
2027-01,1,Normal,Juan Pablo II,Juan Pablo II,153.15160865975366
2027-01,1,Normal,Juan Pablo II,Diagonal Biobío,444.59264334677783
2027-01,1,Normal,Juan Pablo II,Alborada,513.8447500861236
2027-01,1,Normal,Juan Pablo II,Costa Mar,2143.5899678982223
2027-01,1,Normal,Juan Pablo II,El Parque,746.24204360222
2027-01,1,Normal,Juan Pablo II,Lomas Coloradas,2978.2237402882342
2027-01,1,Normal,Juan Pablo II,C. Raúl Silva H.,2197.993349068909
2027-01,1,Normal,Juan Pablo II,Hito Galvarino,1106.2451801546233
2027-01,1,Normal,Juan Pablo II,Los Canelos,2353.3240633666765
2027-01,1,Normal,Juan Pablo II,Huinca,1403.5018989831217
2027-01,1,Normal,Juan Pablo II,Cristo Redentor,2037.8737235592675
2027-01,1,Normal,Juan Pablo II,Laguna Quiñenco,1781.66155953001
2027-01,1,Normal,Juan Pablo II,Intermodal Coronel,2686.4387692500372
2027-01,1,Normal,Juan Pablo II,Pasajero Lota,0.0
2027-01,1,Normal,Juan Pablo II,Concepción Centro,0.0
2027-01,1,Normal,Diagonal Biobío,Hualqui,199.80413463239762
2027-01,1,Normal,Diagonal Biobío,La Leonera,240.91351981428826
2027-01,1,Normal,Diagonal Biobío,Manquimávida,121.71410092238119
2027-01,1,Normal,Diagonal Biobío,Pedro Medina,157.3767822081922
2027-01,1,Normal,Diagonal Biobío,Chiguayante,265.74006825202486
2027-01,1,Normal,Diagonal Biobío,Concepción,3381.8959464502223
2027-01,1,Normal,Diagonal Biobío,Lorenzo Arenas,92.76907006283722
2027-01,1,Normal,Diagonal Biobío,UTFSM,111.80135723516898
2027-01,1,Normal,Diagonal Biobío,Los Cóndores,170.88422678163886
2027-01,1,Normal,Diagonal Biobío,Higueras,190.40243281462514
2027-01,1,Normal,Diagonal Biobío,El Arenal,114.97869949529547
2027-01,1,Normal,Diagonal Biobío,Mercado,209.94326958328853
2027-01,1,Normal,Diagonal Biobío,Juan Pablo II,512.3079961196089
2027-01,1,Normal,Diagonal Biobío,Diagonal Biobío,184.4690783143856
2027-01,1,Normal,Diagonal Biobío,Alborada,483.0083427984721
2027-01,1,Normal,Diagonal Biobío,Costa Mar,1556.5135951188893
2027-01,1,Normal,Diagonal Biobío,El Parque,945.735388584194
2027-01,1,Normal,Diagonal Biobío,Lomas Coloradas,2136.7258195711433
2027-01,1,Normal,Diagonal Biobío,C. Raúl Silva H.,1368.9449578240267
2027-01,1,Normal,Diagonal Biobío,Hito Galvarino,812.5049810386578
2027-01,1,Normal,Diagonal Biobío,Los Canelos,1417.5198098839217
2027-01,1,Normal,Diagonal Biobío,Huinca,801.7272989297841
2027-01,1,Normal,Diagonal Biobío,Cristo Redentor,1267.2027287226513
2027-01,1,Normal,Diagonal Biobío,Laguna Quiñenco,1090.9777569733933
2027-01,1,Normal,Diagonal Biobío,Intermodal Coronel,1997.4546222474735
2027-01,1,Normal,Diagonal Biobío,Pasajero Lota,0.0
2027-01,1,Normal,Diagonal Biobío,Concepción Centro,0.0
2027-01,1,Normal,Alborada,Hualqui,144.50767185425516
2027-01,1,Normal,Alborada,La Leonera,100.91342858550095
2027-01,1,Normal,Alborada,Manquimávida,56.350153547609565
2027-01,1,Normal,Alborada,Pedro Medina,43.97940389167859
2027-01,1,Normal,Alborada,Chiguayante,92.15554163450034
2027-01,1,Normal,Alborada,Concepción,2464.9442979958208
2027-01,1,Normal,Alborada,Lorenzo Arenas,50.367100160596735
2027-01,1,Normal,Alborada,UTFSM,83.95034800079966
2027-01,1,Normal,Alborada,Los Cóndores,63.92688179587198
2027-01,1,Normal,Alborada,Higueras,109.26198597613552
2027-01,1,Normal,Alborada,El Arenal,83.81315154990034
2027-01,1,Normal,Alborada,Mercado,69.42863073696296
